,Country Name,Country Code,Death rate,gdp,population % 0-14,population % over 65,population % 15-65
181,Palau,PLW,8.4,14016.2474961051,20.8852659692856,9.15312708657912,69.9616069441353
182,Papua New Guinea,PNG,6.402,2446.08441340059,34.9169097525652,3.03358380411995,62.0495064433148
183,Poland,POL,12.6,15816.8204022734,15.3480034078472,18.3740401768053,66.2779564153475
184,Pre-demographic dividend,PRE,8.92627655047726,1329.36845168249,43.5625824718133,2.82593673070454,53.6114807974822
185,Puerto Rico,PRI,9.6,31427.4291136799,13.9401347581562,21.7050435655479,64.3548216762959
186,Portugal,PRT,12.0,22242.4064179716,13.4956608643372,22.2967255949746,64.2076135406882
187,Paraguay,PRY,5.916,5353.34804464198,29.2071397760435,6.16223439817064,64.6306258257859
188,West Bank and Gaza,PSE,3.489,3233.56863835858,39.4767782573281,3.43230163994652,57.0909201027254
189,Pacific island small states,PSS,6.49285970884585,3713.50694343002,34.7536971209262,4.63367017557328,60.6126327035006
190,Post-demographic dividend,PST,10.5574003302791,44494.6457414394,15.8292766654311,19.682539375408,64.4881839591609
191,French Polynesia,PYF,3.859,18984.6173795396,22.1183129940265,9.23756166792804,68.6441253380454
192,Qatar,QAT,1.219,52315.6600783117,15.3516629020952,1.25582119885451,83.3925158990503
193,Romania,ROU,15.5,13047.457681178,16.0181197048859,18.6858929427591,65.2959873523551
194,Russian Federation,RUS,14.6,10194.44140625,17.6804678846996,15.3060701838106,67.0134619314898
195,Rwanda,RWA,5.998,773.820557473379,39.3268624174073,3.10210547610455,57.5710321064882
196,South Asia,SAS,7.16652966188531,1853.89308716516,27.9336687908501,6.22764421326151,65.8386869958884
197,Saudi Arabia,SAU,2.913,20398.0609873699,26.0410680508446,2.39663290714769,71.5622990420077
198,Sudan,SDN,6.67,608.33251953125,41.1776527376411,3.3379844225826,55.4843628397763
199,Senegal,SEN,5.584,1492.47590420334,42.0651163413263,3.17310898192517,54.7617746767485
200,Singapore,SGP,5.2,61274.0064626976,12.1518250106876,13.154199090183,74.6939758991294
